P20173.2	Macrolide-lincosamide-streptogramin B resistance protein	Enterococcus faecalis V583 strain DS16
P21236.1	Macrolide-lincosamide-streptogramin B resistance protein	Streptococcus pneumoniae
P0A4D5.1	Macrolide-lincosamide-streptogramin B resistance protein	Enterococcus faecalis
P10738.1	Macrolide-lincosamide-streptogramin B resistance protein	Escherichia coli
P06573.1	Macrolide-lincosamide-streptogramin B resistance protein	Streptococcus sanguinis
P02979.1	Macrolide-lincosamide-streptogramin B resistance protein	Staphylococcus aureus
Q00014.1	Macrolide-lincosamide-streptogramin B resistance protein	Lactobacillus reuteri
P13978.1	Macrolide-lincosamide-streptogramin B resistance protein	Staphylococcus aureus
P13956.1	Macrolide-lincosamide-streptogramin B resistance protein	Bacillus subtilis strain BD1109
P13957.1	Macrolide-lincosamide-streptogramin B resistance protein	Staphylococcus aureus
